code	value_en	synonyms	description_en	parents	codesystem	description_code
9221.0	Juxtacortical chondroma (C40._,C41._)	Periosteal chondroma (C40._,C41._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9221.0
9061.3	Seminoma, NOS (C62._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9061.3
8000.6	Neoplasm, metastatic	Neoplasm, secondary|Tumor, secondary|Tumor embolus|Tumor, metastatic			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8000.6
9667.3	Hodgkin lymphoma, nodular sclerosis, grade 2	Hodgkin disease, nodular sclerosis, lymphocyte depletion|Classical Hodgkin lymphoma, nodular sclerosis, grade 2|Hodgkin disease, nodular sclerosis, syncytial variant			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9667.3
8711.3	Glomus tumor, malignant	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8711.3
9451.3	Oligodendroglioma, anaplastic (C71._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9451.3
8870.0	Myelolipoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8870.0
8692.1	Carotid body tumor (C75.4)	Carotid body paraganglioma (C75.4)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8692.1
8506.0	Adenoma of nipple (C50.0)	Subareolar duct papillomatosis (C50.0)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8506.0
8046.3	Non-small cell carcinoma (C34._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8046.3
8966.0	Renomedullary interstitial cell tumor (C64.9)	Renomedullary fibroma (C64.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8966.0
9150.0	Hemangiopericytoma, benign	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9150.0
9130.0	Hemangioendothelioma, benign	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9130.0
9891.3	Acute monocytic leukemia	Acute monoblastic leukemia|Monoblastic leukemia, Nos|FAB M5 (includes all variants)|Acute monoblastic and monocytic leukemia			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9891.3
8571.3	Adenocarcinoma with cartilaginous and osseous metaplasia	Adenocarcinoma with osseous metaplasia|Adenocarcinoma with cartilaginous metaplasia			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8571.3
8012.3	Large cell carcinoma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8012.3
8892.0	Cellular leiomyoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8892.0
8815.3	Solitary fibrous tumor, malignant	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8815.3
8153.3	Gastrinoma, malignant	G cell tumor, malignant|Gastrin cell tumor, malignant			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8153.3
9540.0	Neurofibroma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9540.0
9920.3	Therapy related myeloid neoplasm	Therapy-related acute myeloid leukemia, NOS|Therapy-related acute myeloid leukemia, epipodophyllotoxin-related|Therapy-related acute myeloid leukemia, alkylating agent related			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9920.3
8620.3	Granulosa cell tumor, malignant (C56.9)	Granulosa cell carcinoma (C56.9)|Granulosa cell tumor, sarcomatoid (C56.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8620.3
8600.3	Thecoma, malignant (C56.9)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8600.3
8723.0	Halo nevus (C44._)	Regressing nevus (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8723.0
8543.3	Paget disease and intraductal carcinoma of breast (C50._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8543.3
8967.0	Ossifying renal tumor (C64.9)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8967.0
8076.3	Squamous cell carcinoma, microinvasive	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8076.3
8361.0	Juxtaglomerular tumor (C64.9)	Reninoma (C64.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8361.0
8630.1	Androblastoma, NOS	Arrhenoblastoma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8630.1
8650.1	Leydig cell tumor, NOS (C62._)	Interstitial cell tumor, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8650.1
9390.1	Atypical choroid plexus papilloma (C71.5)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9390.1
9382.3	Mixed glioma (C71._)	Oligoastrocytoma (C71._)|Anaplastic oligoastrocytoma (C71._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9382.3
8904.0	Adult rhabdomyoma	Glycogenic rhabdomyoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8904.0
9709.3	Cutaneous T-cell lymphoma, NOS (C44._)	Cutaneous lymphoma, NOS (C44._) [obs]|Primary cutaneous CD8-positive aggressive epidermotropic cytotoxic T-cell lymphoma|Primary cutaneous CD4-positive small/medium T-cell lymphoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9709.3
9570.0	Neuroma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9570.0
9011.0	Intracanalicular fibroadenoma (C50._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9011.0
8324.0	Lipoadenoma	Adenolipoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8324.0
9513.3	Retinoblastoma, diffuse (C69.2)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9513.3
8270.0	Chromophobe adenoma (C75.1)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8270.0
8163.2	Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia (C24.1)	"Noninvasive pancreatobiliary papillary neoplasm with high grade dysplasia (C24.1)|Noninvasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia (C24.1)
        "			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8163.2
8452.3	Solid pseudopapillary carcinoma (C25._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8452.3
8090.3	Basal cell carcinoma, NOS (C44._)	Rodent ulcer (C44._)|Basal cell epithelioma (C44._)|Pigmented basal cell carcinoma (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8090.3
8101.0	Trichofolliculoma (C44._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8101.0
9221.3	Juxtacortical chondrosarcoma (C40._,C41._)	Periosteal chondrosarcoma (C40._,C41._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9221.3
9180.0	Osteoma, NOS (C40._,C41._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9180.0
9210.1	Osteochondromatosis, NOS (C40._,C41._)	Ecchondrosis (C40._,C41._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9210.1
8260.3	Papillary adenocarcinoma, NOS	Papillary renal cell carcinoma (C64.9)|Papillary carcinoma of thyroid (C73.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8260.3
8830.0	Benign fibrous histiocytoma	Fibrous histiocytoma, NOS|Xanthofibroma|Fibroxanthoma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8830.0
9311.0	Odontoameloblastoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9311.0
8650.3	Leydig cell tumor, malignant (C62._)	Interstitial cell tumor, malignant			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8650.3
9133.1	Epithelioid hemangioendothelioma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9133.1
8490.6	Metastatic signet ring cell carcinoma	Krukenberg tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8490.6
8970.3	Hepatoblastoma (C22.0)	Embryonal hepatoma (C22.0)|Hepatoblastoma, epithelioid (C22.0)|Hepatoblastoma, mixed epithelial-mesenchymal (C22.0)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8970.3
8950.3	Mullerian mixed tumor (C54._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8950.3
8391.0	Follicular fibroma (C44._)	Trichodiscoma (C44._)|Fibrofolliculoma (C44._)|Perifollicular fibroma (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8391.0
8680.1	Paraganglioma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8680.1
9741.1	Indolent systemic mastocytosis	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9741.1
8121.1	Transitional cell papilloma, inverted, NOS	Transitional papilloma, inverted, NOS|Cylindrical cell papilloma (C30.0, C31._)|Schneiderian papilloma, inverted (C30.0, C31._)|Columnar cell papilloma|Oncocytic Schneiderian papilloma (C30.0, C31._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8121.1
8314.3	Lipid-rich carcinoma (C50._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8314.3
8440.0	Cystadenoma, NOS	Cystoma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8440.0
8000.3	Neoplasm, malignant	Cancer|Tumor, malignant, NOS|Malignancy|Unclassified tumor, malignant|Blastoma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8000.3
8880.0	Hibernoma	Fetal fat cell lipoma|Brown fat tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8880.0
9759.3	Fibroblastic reticular cell tumor	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9759.3
9815.3	B lymphoblastic leukemia/lymphoma with hyperdiploidy	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9815.3
8774.3	Spindle cell melanoma, type B (C69._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8774.3
8803.3	Small cell sarcoma	Round cell sarcoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8803.3
8982.0	Myoepithelioma	Myoepithelial adenoma|Myoepithelial tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8982.0
8403.0	Eccrine spiradenoma (C44._)	Spiradenoma, NOS (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8403.0
8300.3	Basophil carcinoma (C75.1)	Basophil adenocarcinoma (C75.1)|Mucoid cell adenocarcinoma (C75.1)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8300.3
8330.1	Atypical follicular adenoma (C73.9)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8330.1
9014.1	Serous adenofibroma of borderline malignancy	Serous cystadenofibroma of borderline malignancy			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9014.1
9863.3	Chronic myeloid leukemia, NOS	Chronic granulocytic leukemia, NOS|Chronic myelocytic leukemia, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9863.3
8243.3	Goblet cell carcinoid	Mucinous carcinoid|Mucocarcinoid tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8243.3
9181.3	Chondroblastic osteosarcoma (C40._,C41._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9181.3
9816.3	B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9816.3
8935.1	Stromal tumor, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8935.1
8693.1	Extra-adrenal paraganglioma, NOS	Chemodectoma|Nonchromaffin paraganglioma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8693.1
9270.0	Odontogenic tumor, benign	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9270.0
8453.0	Intraductal papillary-mucinous adenoma (C25._)	Intraductal papillary-mucinous neoplasm with low grade dysplasia (C25._)|Intraductal papillary-mucinous neoplasm with moderate dysplasia (C25._)|Intraductal papillary-mucinous tumor with intermediate dysplasia (C25._)|Intraductal papillary-mucinous tumor with low grade dysplasia (C25._)|Intraductal papillary-mucinous tumor with moderate dysplasia (C25._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8453.0
9090.3	Struma ovarii, malignant (C56.9)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9090.3
8900.0	Rhabdomyoma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8900.0
8740.3	Malignant melanoma in junctional nevus (C44._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8740.3
9801.3	Acute leukemia, NOS	Stem cell leukemia|Blast cell leukemia|Undifferentiated leukaemia			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9801.3
8935.3	Stromal sarcoma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8935.3
9695.3	Follicular lymphoma, grade 1	Malignant lymphoma, lymphocytec, poorly differentiated, nodular [obs]|Follicular lymphoma, small cleaved cell|Malignant lymphoma, small cleaved cell, follicular [obs]			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9695.3
9062.3	Seminoma, anaplastic (C62._)	Seminoma with high mitotic index (C62._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9062.3
9724.3	Systemic EBV positive T-cell lymphoproliferative disease of childhood	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9724.3
9661.3	Hodgkin granuloma [obs]	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9661.3
8041.3	Small cell carcinoma, NOS	Reserve cell carcinoma|Round cell carcinoma|Small cell neuroendocrine carcinoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8041.3
8631.1	Sertoli-Leydig cell tumor of intermediate differentiation	Sertoli-Leydig cell tumor, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8631.1
9102.3	Malignant teratoma, trophoblastic	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9102.3
9131.0	Capillary hemangioma	Hemangioma simplex|Infantile hemangioma|Juvenile hemangioma|Plexiform hemangioma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9131.0
9187.3	Intraosseous well differentiated osteosarcoma (C40._,C41._)	Intraosseous low grade osteosarcoma (C40._,C41._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9187.3
8572.3	Adenocarcinoma with spindle cell metaplasia	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8572.3
8120.1	Urothelial papilloma, NOS	Papilloma of bladder|Transitional cell papilloma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8120.1
8013.3	Large cell neuroendocrine carcinoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8013.3
8390.0	Skin appendage adenoma (C44._)	Adnexal tumor, benign (C44._)|Skin appendage tumor, benign (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8390.0
8893.0	Bizarre leiomyoma	Atypical leiomyoma|Pleomorphic leiomyoma|Symplastic leiomyoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8893.0
9541.0	Melanotic neurofibroma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9541.0
8333.3	Fetal adenocarcinoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8333.3
8313.3	Clear cell adenocarcinofibroma (C56.9)	Clear cell cystadenocarcinofibroma (C56.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8313.3
8154.3	Mixed pancreatic endocrine and exocrine tumor, malignant (C25._)	Mixed islet cell and exocrine adenocarcinoma (C25._)|Mixed ductal-endocrine carcinoma (C25._)|Mixed acinar-endocrine-ductal carcinoma|Mixed acinar-endocrine carcinoma (C25._)|Mixed endocrine and exocrine adenocarcinoma (C25._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8154.3
9971.1	Post transplant lymphoproliferative disorder, NOS	PTLD, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9971.1
9104.1	Placental site trophoblastic tumor (C58.9)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9104.1
8921.3	Rhabdomyosarcoma with ganglionic differentiation	Ectomesenchymoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8921.3
8560.0	Mixed squamous cell and glandular papilloma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8560.0
8001.0	Tumor cells, benign	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8001.0
8380.3	Endometrioid adenocarcinoma, NOS	Endometrioid carcinoma, NOS|Endometrioid cystadenocarcinoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8380.3
8092.3	Infiltrating basal cell carcinoma, NOS (C44._)	Basal cell carcinoma, desmoplastic type (C44._)|Basal cell carcinoma, morpheic (C44._)|Infiltrating basal cell carcinoma, non-sclerosing (C44._)|Infiltrating basal cell carcinoma, sclerosing (C44._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8092.3
9243.3	Dedifferentiated chondrosarcoma (C40._,C41._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9243.3
8103.0	Pilar tumor (C44._)	Proliferating trichilemmal tumor|Proliferating trichilemmal cyst			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8103.0
9350.1	Craniopharyngioma (C75.2)	Rathke pouch tumor (C75.1)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9350.1
9831.3	T-cell large granular lymphocytic leukemia	Large granular lymphocytosis, NOS|NK-cell large granular lymphocytic leukemia|T-cell large granular lymphocytosis|Chronic lymphoproliferative disorder of NK cells			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9831.3
9013.0	Adenofibroma, NOS	Papillary adenofibroma|Cystadenofibroma, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9013.0
8272.0	Pituitary adenoma, NOS (C75.1)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8272.0
8894.3	Angiomyosarcoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8894.3
8335.3	Follicular carcinoma, minimally invasive (C73.9)	Follicular carcinoma, encapsulated (C73.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8335.3
9760.3	Immunoproliferative disease, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9760.3
9740.3	Mast cell sarcoma	Malignant mast cell tumor|Malignant mastocytoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9740.3
8077.0	Squamous intraepithelial neoplasia, low grade	Squamous intraepithelial neoplasia, grade I|Squamous intraepithelial neoplasia, grade II|Esophageal squamous intraepithelial neoplasia (dysplasia), low grade (C15._)|Anal intraepithelial neoplasia, low grade (C21.1)|Cervical intraepithelial neoplasia, low grade (C53._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8077.0
8600.0	Thecoma, NOS (C56.9)	Theca cell tumor (C56.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8600.0
8815.0	Solitary fibrous tumor	Localized fibrous tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8815.0
8150.1	Pancreatic endocrine tumor, NOS (C25._)	Islet cell tumor, NOS (C25._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8150.1
8440.3	Cystadenocarcinoma, NOS	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8440.3
8420.3	Ceruminous adenocarcinoma (C44.2)	Ceruminous carcinoma (C44.2)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8420.3
9124.3	Kupffer cell sarcoma (C22.0)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9124.3
9983.3	Refractory anemia with excess blasts	RAEB|RAEB II|RAEB I			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9983.3
9424.3	Pleomorphic xanthoastrocytoma (C71._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9424.3
8897.1	Smooth muscle tumor of uncertain malignant potential	Smooth muscle tumor, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8897.1
9312.0	Squamous odontogenic tumor	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9312.0
8971.3	Pancreatoblastoma (C25._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8971.3
8951.3	Mesodermal mixed tumor	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8951.3
9390.0	Choroid plexus papilloma, NOS (C71.5)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9390.0
8936.1	Gastrointestinal stromal tumor, NOS	GANT|Gastrointestinal stromal tumor, uncertain malignant potential|GIST, NOS|Gastrointestinal autonomic nerve tumor|Gastrointestinal pacemaker cell tumor			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8936.1
9837.3	Precursor T-cell lymphoblastic leukemia (see also M-9729/3)	Cortical T ALL|Mature T ALL|Pre-T ALL|Pro-T ALL|T lymphoblastic leukemia/lymphoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9837.3
9817.3	"B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH"	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9817.3
8983.0	Adenomyoepithelioma (C50._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8983.0
8890.1	Leiomyomatosis, NOS	Intravascular leiomyomatosis			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8890.1
8078.3	Squamous cell carcinoma with horn formation	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8078.3
9091.1	Strumal carcinoid (C56.9)	Struma ovarii and carcinoid (C56.9)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9091.1
9182.3	Fibroblastic osteosarcoma (C40._,C41._)	Osteofibrosarcoma (C40._,C41._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9182.3
8244.3	Mixed adenoneuroendocrine carcinoma	Combined/mixed carcinoid and adenocarcinoma|MANEC|Combined carcinoid and adenocarcinoma|Composite carcinoid|Mixed carcinoid-adenocarcinoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8244.3
9242.3	Clear cell chondrosarcoma (C40._,C41._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9242.3
9530.3	Meningioma, malignant	Meningioma, anaplastic|Meningothelial sarcoma|Leptomeningeal sarcoma|Meningeal sarcoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9530.3
8210.3	Adenocarcinoma in adenomatous polyp	Adenocarcinoma in polypoid adenoma|Adenocarcinoma in tubular adenoma|Carcinoma in a polyp, NOS|Carcinoma in adenomatous polyp|Adenocarcinoma in a polyp, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8210.3
9271.0	Ameloblastic fibrodentinoma	Dentinoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9271.0
9560.1	Neurinomatosis	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9560.1
9571.0	Perineurioma, NOS	Soft tissue perineurioma|Intraneural perineurioma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9571.0
9012.0	Pericanalicular fibroadenoma (C50._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9012.0
8240.1	Carcinoid tumor of uncertain malignant potential	Argentaffinoma, NOS [obs]|Carcinoid tumor, argentaffin, NOS			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8240.1
8741.3	Malignant melanoma in precancerous melanosis (C44._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8741.3
9726.3	Primary cutaneous gamma-delta T-cell lymphoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9726.3
8000.0	Neoplasm, benign	Unclassified tumor, benign|Tumor, benign			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8000.0
8453.3	Intraductal papillary-mucinous carcinoma, invasive (C25._)	Intraductal papillary mucinous neoplasm with an associated invasive carcinoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8453.3
8408.1	Aggressive digital papillary adenoma (C44._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8408.1
9440.3	Glioblastoma (C71._)	Spongioblastoma multiforme (C71._)|Glioblastoma multiforme (C71._)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9440.3
9655.3	Hodgkin lymphoma, lymphocyte depletion, reticular	Classical Hodgkin lymphoma, lymphocyte depletion, reticular			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/9655.3
8015.3	Glassy cell carcinoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8015.3
8392.0	Syringofibroadenoma (C44._)	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8392.0
8895.0	Myoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8895.0
8300.0	Basophil adenoma (C75.1)	Mucoid cell adenoma (C75.1)			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8300.0
8574.3	Adenocarcinoma with neuroendocrine differentiation	Carcinoma with neuroendocrine differentiation			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8574.3
8441.0	Serous cystadenoma, NOS	Serous cystoma|Serous microcystic adenoma			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8441.0
8315.3	Glycogen-rich carcinoma	NA			ICD-O-3-M	http://purl.bioontology.org/ontology/CDN-O-3-M/8315.3
