code	value_en	synonyms	description_en	codesystem	description_code	parents
HP_0004447	Poikilocytosis	NA	The presence of abnormally shaped erythrocytes.,General description for abnormally shaped erythrocytes.	HPO	http://purl.obolibrary.org/obo/HP_0001877	HP_0001877
HP_0004689	Short fourth metatarsal	Short fourth metatarsus,Bilateral fourth metatarsal shortening,Short 4th long bone of foot,Short fourth metatarsals	Short fourth metatarsal bone.	HPO	http://purl.obolibrary.org/obo/HP_0010743,http://purl.obolibrary.org/obo/HP_0040035	HP_0010743,HP_0040035
HP_0005537	Decreased mean platelet volume	Small platelets,Small platelets size,Small platelet size	Average platelet volume below the lower limit of the normal reference interval.,Mean platelet volume (MPV) is a measure of the average size of platelets, with a typical reference range of 7.5 to 11.5 femtoliters (fL).	HPO	http://purl.obolibrary.org/obo/HP_0011876	HP_0011876
HP_0004448	Fulminant hepatic failure	NA	Hepatic failure refers to the inability of the liver to perform its normal synthetic and metabolic functions, which can result in coagulopathy and alteration in the mental status of a previously healthy individual. Hepatic failure is defined as fulminant if there is onset of encephalopathy within 4 weeks of the onset of symptoms in a patient with a previously healthy liver.	HPO	http://purl.obolibrary.org/obo/HP_0006554	HP_0006554
HP_0005531	Biphenotypic acute leukaemia	Myeloid/lymphoid leukemia,Acute biphenotypic leukemia	A type of actue leukemia with features characteristic of both the myeloid and lymphoid lineages. These leukemias are for this reason are designated mixed-lineage, hybrid or biphenotypic acute leukemias.	HPO	http://purl.obolibrary.org/obo/HP_0002488	HP_0002488
HP_0005773	Short forearm	Short forearm	Underdevelopment of both forearm bones, the ulna and the radius, resulting in a shortened forearm.	HPO	http://purl.obolibrary.org/obo/HP_0009821	HP_0009821
HP_0004442	Sagittal craniosynostosis	Sagittal suture synostosis,Midline skull joint closes early,Craniosynostosis, sagittal suture,Craniosynostosis, sagittal,Early closure of midline skull joint	A kind of craniosynostosis affecting the sagittal suture.	HPO	http://purl.obolibrary.org/obo/HP_0001363	HP_0001363
HP_0004684	Talipes valgus	NA	Outward turning of the heel, resulting in clubfoot with the person walking on the inner part of the foot.,The phrase talipes valgus is derived from the Latin words talus (ankle), pes (poot), and valgus (outward angulation of the distal segment of a bone).	HPO	http://purl.obolibrary.org/obo/HP_0003028	HP_0003028
HP_0005772	Aplasia/Hypoplasia of the tibia	Absent/underdeveloped shinbone,Aplastic/hypoplastic tibia,Absent/hypoplastic tibia,Absent/small shankbone,Absent/underdeveloped shankbone,Absent/small shinbone	Absence or underdevelopment of the tibia.	HPO	http://purl.obolibrary.org/obo/HP_0002992,http://purl.obolibrary.org/obo/HP_0006493	HP_0002992,HP_0006493
HP_0004681	Deep longitudinal plantar crease	Foot crease,Longitudinal groove on soles	Narrow, paramedian longitudinal depressions in the plantar skin of the forefoot.	HPO	http://purl.obolibrary.org/obo/HP_0001869	HP_0001869
HP_0004440	Coronal craniosynostosis	Craniosynostosis of coronal suture,Coronal suture craniosynostosis,Coronal suture synostosis	Premature closure of the coronal suture of skull.	HPO	http://purl.obolibrary.org/obo/HP_0001363	HP_0001363
HP_0004429	Recurrent viral infections	NA	Increased susceptibility to viral infections, as manifested by recurrent episodes of viral infection.	HPO	http://purl.obolibrary.org/obo/HP_0002719	HP_0002719
HP_0005518	Increased mean corpuscular volume	Erythrocyte macrocytosis,Increased MCV	Larger than normal size of erythrocytes.,Macrocytosis refers to a mean cell volume (MCV) greater than 100 fL. If macrocytosis is an isolated abnormality, the amount of hemoglobin in the cell increases proportionately, so the mean cell hemoglobin concentration (MCHC) remains within normal limits.	HPO	http://purl.obolibrary.org/obo/HP_0025065	HP_0025065
HP_0004434	C8 deficiency	NA	A reduced level of the complement component C8 in circulation.,The eighth component of complement (C8) plays an important role in the function of membrane attack complex (MAC) that is generated on target cells upon activation of the complement system. MAC is generated by sequential addition of C5b, C6, C7, C8, and C9 molecules, which results in the transmembrane pore and eventual cell lysis. Individuals with C8 deficiency tend to have recurrent neisserial infections.	HPO	http://purl.obolibrary.org/obo/HP_0004431	HP_0004431
HP_0004676	Prominent supraorbital arches in adult	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0000336	HP_0000336
HP_0005524	Macrocytic hemolytic disease	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0001878	HP_0001878
HP_0005766	Disproportionate shortening of the tibia	Disproportionate shortening of the shinbone,Disproportionate shortening of the shankbone	NA	HPO	http://purl.obolibrary.org/obo/HP_0005736	HP_0005736
HP_0005523	Lymphoproliferative disorder	Lymphoproliferative disorders	NA	HPO	http://purl.obolibrary.org/obo/HP_0004377	HP_0004377
HP_0005765	Sacral meningocele	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0005107	HP_0005107
HP_0004432	Agammaglobulinemia	Agammaglobulinaemia	Absence or extremely low level of IgA, IgM, and IgM in the circulation.	HPO	http://purl.obolibrary.org/obo/HP_0004313	HP_0004313
HP_0005522	Pyridoxine-responsive sideroblastic anemia	NA	A type of sideroblastic anemia that is alleviated by pyridoxine (vitamin B-6) treatment.	HPO	http://purl.obolibrary.org/obo/HP_0001924	HP_0001924
HP_0005764	Polyarticular arthritis	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0005195	HP_0005195
HP_0004433	Secretory IgA deficiency	NA	Deficiency of secretory IgA (polymers of 2-4 IgA monomers are linked by two additional chains) and is the primary antibody response at the mucosal level, where it forms immune complexes with pathogens and allergens.	HPO	http://purl.obolibrary.org/obo/HP_0002720	HP_0002720
HP_0004438	Hyperostosis frontalis interna	Thick inner surface of the frontal bone,Enlargement of the inner surface of the frontal bone,Increased ossification of the internal surface of the frontal bone,Hypertrophy of the internal surface of the frontal bone,Overgrowth of the inside of the frontal bone,Thick internal surface of the frontal bone,Excessive growth of inner surface of the frontal bone,Hyperostosis of the internal surface of the frontal bone,Overgrowth of the inner surface of the frontal bone	Bony overgrowth of the internal (endosteal) surface of the frontal bone.	HPO	http://purl.obolibrary.org/obo/HP_0004437	HP_0004437
HP_0005528	Bone marrow hypocellularity	Hypoplastic bone marrow,Bone marrow failure,Bone marrow hypoplasia	A reduced number of hematopoietic cells present in the bone marrow relative to marrow fat.	HPO	http://purl.obolibrary.org/obo/HP_0012145	HP_0012145
HP_0004439	Craniofacial dysostosis	Crouzon syndrome	A characteristic appearance resulting from defective ossification of craniofacial bones.,Note: This term is used in the medical literature to describe an appearance of the face of patients with Crouzon syndrome (also called craniofacial dysostosis), which is characterized by acrocephaly, exophthalmos, hypertelorism, strabismus, parrot-beaked nose, and hypoplastic maxilla. This is thus probably mainly used as a bundled term and should be replaced by better descriptions in the future.	HPO	http://purl.obolibrary.org/obo/HP_0000929,http://purl.obolibrary.org/obo/HP_0000271	HP_0000929,HP_0000271
HP_0005769	Fifth finger distal phalanx clinodactyly	Curvature of outermost bone of little finger,Curvature of outermost bone of pinkie finger,Curvature of outermost bone of pinky finger	Bending or curvature of the distal phalanx of little finger in the radial direction (i.e., towards the 4th finger).	HPO	http://purl.obolibrary.org/obo/HP_0004225,http://purl.obolibrary.org/obo/HP_0004209	HP_0004225,HP_0004209
HP_0005526	Lymphoid leukemia	NA	A malignant lymphocytic neoplasm of B-cell or T-cell lineage involving primarily the bone marrow and the peripheral blood. This category includes precursor or acute lymphoblastic leukemias and chronic leukemias.	HPO	http://purl.obolibrary.org/obo/HP_0001909	HP_0001909
HP_0005768	2-4 toe cutaneous syndactyly	Webbed second, third and fourth toes,Webbed 2nd, 3rd and 4th toes,Soft tissue syndactyly of toes 2, 3, and 4	A soft tissue continuity in the anteroposterior axis between the toes 2, 3, and 4.	HPO	http://purl.obolibrary.org/obo/HP_0010621	
HP_0004437	Cranial hyperostosis	Enlargement of skull bones,Excessive growth of skull bones,Thick skull bones,Overgrowth of skull bones,Hypertrophy of cranial bones,Hyperostosis of cranial vault,Increased ossification of cranial bones,Hyperostosis of cranial bones	Excessive growth of the bones of cranium, i.e., of the skull.	HPO	http://purl.obolibrary.org/obo/HP_0002683,http://purl.obolibrary.org/obo/HP_0100774	HP_0002683,HP_0100774
HP_0004679	Large tarsal bones	Large ankle bones	NA	HPO	http://purl.obolibrary.org/obo/HP_0001850	HP_0001850
HP_0005525	Spontaneous hemolytic crises	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0001878	HP_0001878
HP_0005767	1-2 toe complete cutaneous syndactyly	Webbed 1st-2nd toes	NA	HPO	http://purl.obolibrary.org/obo/HP_0010621	
HP_0004430	Severe combined immunodeficiency	Immunodeficiency, severe combined	A combined immunodeficiency primary immune deficiency that is characterized by a more severe defect in both the T- and B-lymphocyte systems.	HPO	http://purl.obolibrary.org/obo/HP_0005387	HP_0005387
HP_0005520	Chronic disseminated intravascular coagulation	Compensated disseminated intravascular coagulation,Chronic consumption coagulopathy	A chronic form of disseminated intravascular coagulation in which a persistent weak or intermittent activating stimulus is present and destruction and production of coagulation factors and platelets are balanced.	HPO	http://purl.obolibrary.org/obo/HP_0005521	
HP_0004431	Complement deficiency	NA	An immunodeficiency defined by the absent or suboptimal functioning of one of the complement system proteins.	HPO	http://purl.obolibrary.org/obo/HP_0005339	HP_0005339
HP_0004673	Decreased facial expression	Decreased facial expression	A reduced degree of voluntary and involuntary facial movements involved in responded to others or expressing emotions.	HPO	http://purl.obolibrary.org/obo/HP_0005346	HP_0005346
HP_0004418	Thrombophlebitis	NA	Inflammation of a vein associated with venous thrombosis (blood clot formation within the vein).	HPO	http://purl.obolibrary.org/obo/HP_0004936	HP_0004936
HP_0005508	Monoclonal immunoglobulin M proteinemia	Waldenstrom macroglobulinemia	Presence of a monoclonal immunoglobulin M protein in the serum.,This is a characteristic feature of Waldenstrom macroglobulinemia (WM), which is defined as a B-cell lymphoplasmacytic lymphoma, characterized by monoclonal immunoglobulin M protein in the serum and infiltration of bone marrow with lymphoplasmacytic cells.	HPO	http://purl.obolibrary.org/obo/HP_0031047,http://purl.obolibrary.org/obo/HP_0003496,http://purl.obolibrary.org/obo/HP_0005523	HP_0003496,HP_0005523
HP_0004419	Recurrent thrombophlebitis	Recurrent phlebitis,Recurrent thrombosis	Repeated episodes of inflammation of a vein associated with venous thrombosis (blood clot formation within the vein).	HPO	http://purl.obolibrary.org/obo/HP_0004418	HP_0004418
HP_0005507	Hemoglobin Barts	Hb Barts	Normal adult hemoglobin is composed of two chains each of alpha and beta globin. Hb Barts (Hemoglobin Barts) is a tetramer with four gamma globin chains, and is essentially pathognomonic for one or another form of alpha thalassemia. Hb Barts has an extremely high affinity for oxygen, resulting in almost no oxygen delivery to the tissues.,Hb Bart is normally not present in adult blood. It makes up about 85-90 percent of hemoglobin in Hb Bart hydrops fetalis syndrome, and about 2-5 percent in HbH disease.	HPO	http://purl.obolibrary.org/obo/HP_0011902	HP_0011902
HP_0004423	Cranium bifidum occultum	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0002084	HP_0002084
HP_0005513	Increased megakaryocyte count	NA	Increased megakaryocyte number, i.e., of platelet precursor cells, present in the bone marrow.	HPO	http://purl.obolibrary.org/obo/HP_0012143	HP_0012143
HP_0005997	Restricted neck movement due to contractures	Restricted neck movement due to contractures,Restricted neck mobility due to contractures,Neck flexion contracture	NA	HPO	http://purl.obolibrary.org/obo/HP_0001371,http://purl.obolibrary.org/obo/HP_0005986	HP_0001371,HP_0005986
HP_0005512	Impaired neutrophil killing of staphylococci	NA	A reduction in the ability of neutrophils to kill the gram-positive bacteria, staphylococcus, which is commonly known as staph.	HPO	http://purl.obolibrary.org/obo/HP_0011993	HP_0011993
HP_0004421	Elevated systolic blood pressure	Elevated systolic BP	Abnormal increase in systolic blood pressure.,Normal systolic blood pressure is less than 120 mmHg in adults.	HPO	http://purl.obolibrary.org/obo/HP_0032263	HP_0032263
HP_0005511	Heinz body anemia	NA	Anemia characterized by abnormal intracellular inclusions, composed of denatured hemoglobin, found on the membrane of red blood cells.	HPO	http://purl.obolibrary.org/obo/HP_0001878	HP_0001878
HP_0005995	Decreased adipose tissue around neck	Loss of adipose tissue around the neck,Loss of fat around neck	Reduced amount of adipose tissue in the region of the neck.	HPO	http://purl.obolibrary.org/obo/HP_0003758	HP_0003758
HP_0004422	Biparietal narrowing	Decreased width of the skull	A narrowing of the biparietal diameter (i.e., of the transverse distance between the protuberances of the two parietal bones of the skull).	HPO	http://purl.obolibrary.org/obo/HP_0002648	HP_0002648
HP_0004664	Facial midline hemangioma	NA	Hemangioma, a benign tumor of the vascular endothelial cells, occurring in the midline region of the face.	HPO	http://purl.obolibrary.org/obo/HP_0000329	HP_0000329
HP_0005510	Transient erythroblastopenia	Transient decrease in blood erythrocyte number	A transient reduction in the number of erythroblasts in the circulation.,An erythroblast, the immediate precursor of a normal erythrocyte which, still retains a cell nucleus.	HPO	http://purl.obolibrary.org/obo/HP_0001903	HP_0001903
HP_0005752	Flattened moderately deformed vertebrae	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0000926	HP_0000926
HP_0005994	Nodular goiter	NA	Enlargement of the thyroid gland related to one or more nodules in the thyroid gland.	HPO	http://purl.obolibrary.org/obo/HP_0000853	HP_0000853
HP_0005517	T-cell lymphoma/leukemia	NA	A type of T-cell lymphoma in which cancerous T-cells may present in the blood (leukemia), lymph nodes (lymphoma), skin or in multiple areas.,T-cell lymphoma/leukemia is linked to infection by the human T-cell lymphotropic virus 1 (HTLV-1).	HPO	http://purl.obolibrary.org/obo/HP_0012190	HP_0012190
HP_0005759	Small flat posterior fossa	Small and flat posterior skull bones,Small and flat posterior fossa of skull	An abnormally small and flat configuration of the posterior cranial fossa.	HPO	http://purl.obolibrary.org/obo/HP_0040011,http://purl.obolibrary.org/obo/HP_0040010	HP_0040011,HP_0040010
HP_0004428	Elfin facies	Elf-like facial appearance,Elf-like facial features,Leprechaun facies	This is a description previously used to describe a facial form characterized by a short, upturned nose, wide mouth, widely spaced eyes, and full cheeks. Because of the imprecision in this definition it is preferable to describe these features precisely. This term is retained because it was often used in the past, but it should not be used for new annotations.	HPO	http://purl.obolibrary.org/obo/HP_0001999	HP_0001999
HP_0005758	Basilar impression	NA	Abnormal elevation of the floor of the posterior fossa including occipital condyles and foramen magnum.	HPO	http://purl.obolibrary.org/obo/HP_0000932	HP_0000932
HP_0004425	Flat forehead	Flat forehead,Frontal flattening,Flattened forehead	A forehead with abnormal flatness.	HPO	http://purl.obolibrary.org/obo/HP_0000290	HP_0000290
HP_0005999	Ureteral atresia	NA	A developmental defect defined by the failure of the formation of the lumen (tube) of the ureter.	HPO	http://purl.obolibrary.org/obo/HP_0025633	HP_0025633
HP_0004426	Abnormality of the cheek	Abnormality of the cheek,Abnormality of the cheeks,Deformity of the cheeks,Anomaly of the cheeks,Malformation of the cheeks	"An abnormality of the cheek- one of two bilateral soft tissue facial structures in the region of the face inferior to the eyes and between the nose and the ear. ""Buccal"" means relating to the cheek. The cheek is part of the midface"	HPO	http://purl.obolibrary.org/obo/HP_0000309	HP_0000309
HP_0005756	Neonatal epiphyseal stippling	Epiphyseal stippling in neonates,Speckled calcifications in bone end parts in neonates	The presence of abnormal punctate (speckled, dot-like) calcifications in one or more epiphyses during the neonatal period.	HPO	http://purl.obolibrary.org/obo/HP_0010655	HP_0010655
HP_0004661	Frontalis muscle weakness	Weakness of forehead muscle,Weak frontalis muscle	Reduced strength of the frontalis muscle (which is located on the forehead).	HPO	http://purl.obolibrary.org/obo/HP_3000004,http://purl.obolibrary.org/obo/HP_0010628	HP_3000004,HP_0010628
HP_0004420	Arterial thrombosis	Blood clot in artery	The formation of a blood clot inside an artery.	HPO	http://purl.obolibrary.org/obo/HP_0001977	HP_0001977
HP_0005750	Contractures of the joints of the lower limbs	Contractures, lower limbs	NA	HPO	http://purl.obolibrary.org/obo/HP_0003121	HP_0003121
HP_0005991	Limited neck flexion	Limited neck flexibility,Limited cervical flexion	NA	HPO	http://purl.obolibrary.org/obo/HP_0005986	HP_0005986
HP_0004660	Hypoplasia of facial musculature	Small facial muscles,Underdevelopment of facial muscles,Deficiency of facial musculature,Decreased size of facial muscles,Atrophy of facial musculature,Hypotrophic facial musculature	Underdevelopment of one or more muscles innervated by the facial nerve (the seventh cranial nerve).	HPO	http://purl.obolibrary.org/obo/HP_0000301	HP_0000301
HP_0005990	Thyroid hypoplasia	Hypoplastic thyroid	Developmental hypoplasia of the thyroid gland.	HPO	http://purl.obolibrary.org/obo/HP_0008188	HP_0008188
HP_0004409	Hyposmia	Sense of smell impaired,Loss of smell,Decreased smell sensation	A decreased sensitivity to odorants (that is, a decreased ability to perceive odors).	HPO	http://purl.obolibrary.org/obo/HP_0004408	HP_0004408
HP_0004407	Bony paranasal bossing	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0012812	HP_0012812
HP_0005739	Posterior subluxation of radial head	NA	Partial dislocation of the head of the radius in the posterior direction.	HPO	http://purl.obolibrary.org/obo/HP_0003048	HP_0003048
HP_0004408	Abnormality of the sense of smell	Abnormal sense of smell,Abnormality of the sense of smell,Smell defect,Abnormality of olfaction	An anomaly in the ability to perceive and distinguish scents (odors).	HPO	http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0000366	HP_0012638,HP_0000366
HP_0005502	Increased red cell osmotic fragility	Increased erythrocyte osmotic fragility,Increased red cell fragility	NA	HPO	http://purl.obolibrary.org/obo/HP_0020054	HP_0020054
HP_0005986	Limitation of neck motion	Limited neck mobility,Limitation of neck motion,Restricted neck movement	NA	HPO	http://purl.obolibrary.org/obo/HP_0000464	HP_0000464
HP_0004897	Stress/infection-induced lactic acidosis	NA	A form of lactic acidemia that occurs in relation to stress or infection.	HPO	http://purl.obolibrary.org/obo/HP_0003128	HP_0003128
HP_0005743	Avascular necrosis of the capital femoral epiphysis	Perthes-like femoral head changes,Osteonecrosis of the femoral head,Osteochondrosis of the femoral head,Coxa plana,Legg-Perthes disease,Legg-Calve-Perthes syndrome,Morbus Legg-Calve-Perthes	Avascular necrosis of the proximal epiphysis of the femur occurring in growing children and caused by an interruption of the blood supply to the head of the femur close to the hip joint. The necrosis is characteristically associated with flattening of the femoral head, for which reason the term coxa plana has been used to refer to this feature in the medical literature.,In medical parlance, this is often referred to as Legg Calve Perthes disease. Here, the name 'Avascular necrosis of the capital femoral epiphysis' is preferred to emphasize that the term refers to a phenotypic feature rather than a disease entity. Avascular necrosis of the femoral head may result in pain in the hip, limp, stiffness and reduced range of motion, and some degree of atrophy of the affected leg. The phrase Legg Perthes syndrome or Legg Calve Perthes disease is also used to refer to a number of diseases, including the idiopathic form and a form that is related to mutation in the COL2A1 gene (MIM 150600). Legg-Calve-Perthes disease usually occurs in boys 4 to 10 years old, and is clinically characterized by limping, hip stiffness, limited range of motion, and can result in restriction of growth of the affected leg and wasting of the muscles of the upper thigh.	HPO	http://purl.obolibrary.org/obo/HP_0010574,http://purl.obolibrary.org/obo/HP_0100323	HP_0010574,HP_0100323
HP_0004894	Laryngotracheal stenosis	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0001602,http://purl.obolibrary.org/obo/HP_0002777	HP_0001602,HP_0002777
HP_0005984	Elevated maternal serum alpha-fetoprotein	NA	An elevation of alpha-feto protein in the maternal serum.	HPO	http://purl.obolibrary.org/obo/HP_0006254	HP_0006254
HP_0004411	Deviated nasal septum	Crooked nasal septum,Crooked septum of nose,Deviated septum of nose,Deviated nasal septum	Positioning of the nasal septum to the right or left in contrast to the normal midline position of the nasal septum.	HPO	http://purl.obolibrary.org/obo/HP_0000419	HP_0000419
HP_0004416	Precocious atherosclerosis	Premature plaque build-up in arteries,Premature atherosclerosis	NA	HPO	http://purl.obolibrary.org/obo/HP_0002621	HP_0002621
HP_0005506	Chronic myelogenous leukemia	Chronic myeloid leukemia,Chronic myelocytic leukemia	A myeloproliferative disorder characterized by increased proliferation of the granulocytic cell line without the loss of their capacity to differentiate.	HPO	http://purl.obolibrary.org/obo/HP_0005558	HP_0005558
HP_0004417	Intermittent claudication	NA	Intermittent claudication is a symptom of peripheral arterial occlusive disease. After having walked over a distance which is individually characteristic, the patients experience pain or cramps in the calves, feet or thighs which typically subsides on standing still.,Vascular intermittent claudication caused by peripheral arterial disease most often related to severe atherosclerosis.	HPO	http://purl.obolibrary.org/obo/HP_0025323	HP_0025323
HP_0005505	Refractory anemia	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0001903	HP_0001903
HP_0005747	Easily subluxated first metacarpophalangeal joints	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0004294	HP_0004294
HP_0005989	Redundant neck skin	Redundant skin over the neck,Excessive nuchal skin,Excess neck skin,Redundant neck skin,Redundant nuchal skin,Excess skin over the neck,Redundant skin folds of neck	Excess skin around the neck, often lying in horizontal folds.,With age and increased vertical growth of the neck, excess nuchal skin may disappear and the neck may become broad or webbed. If the skin folds are vertical or paravertical, the term Neck webbing should be used.	HPO	http://purl.obolibrary.org/obo/HP_0001582,http://purl.obolibrary.org/obo/HP_0000464	HP_0001582,HP_0000464
HP_0004414	Abnormality of the pulmonary artery	Abnormality of lung artery	An abnormality of the pulmonary artery.	HPO	http://purl.obolibrary.org/obo/HP_0004930	HP_0004930
HP_0004898	Persistent lactic acidosis	NA	A continuous form of lactic acidemia.	HPO	http://purl.obolibrary.org/obo/HP_0003128	HP_0003128
HP_0005746	Osteosclerosis of the base of the skull	Osteosclerosis of the skull base	An increase in bone density affecting the basicranium (base of the skull).,Bundled term. Consider obsoleting it and splitting of osteosclerosis of base of skull.	HPO	http://purl.obolibrary.org/obo/HP_0005464	HP_0005464
HP_0005988	Congenital muscular torticollis	Torticollis, congenital	A congenital form of torticollis resulting from shortening of the sternocleidomastoid muscle and leading to a limited range of motion in both rotation and lateral bending.,Congenital muscular torticollis is thought to result from injury to the sternocleidomastoid muscle during birth trauma, resulting in fibrosis and unilateral shortening of the sternocleidomastoid muscle. Congenital muscular torticollis is thus etiologically and phenotypically distinct from spasmodic torticollis.	HPO	http://purl.obolibrary.org/obo/HP_0011006	HP_0011006
HP_0004415	Pulmonary artery stenosis	Narrowing of lung artery	An abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches.	HPO	http://purl.obolibrary.org/obo/HP_0030966	HP_0030966
HP_0005745	Congenital foot contractures	NA	NA	HPO	http://purl.obolibrary.org/obo/HP_0002803,http://purl.obolibrary.org/obo/HP_0005750	HP_0002803,HP_0005750
HP_0005987	Multinodular goiter	NA	Enlargement of the thyroid gland related to multiple nodules in the thyroid gland.	HPO	http://purl.obolibrary.org/obo/HP_0005994	HP_0005994
HP_0005982	Reduced phenylalanine hydroxylase activity	Phenylalanine hydroxylase deficiency	A reduction in phenylalanine 4-monooxygenase activity.	HPO	http://purl.obolibrary.org/obo/HP_0012379	HP_0012379
HP_0004890	Elevated pulmonary artery pressure	increased pulmonary artery pressure,Elevated lung artery pressure	An abnormally elevated blood pressure in the circulation of the pulmonary artery.	HPO	http://purl.obolibrary.org/obo/HP_0030875	HP_0030875
HP_0004891	Recurrent infections due to aspiration	NA	Increased susceptibility to infections due to aspiration, as manifested by recurrent episodes of infections due to aspiration.	HPO	http://purl.obolibrary.org/obo/HP_0002205	HP_0002205
HP_0005579	Impaired reabsorption of chloride	Impaired reabsorption of Cl,Impaired reabsorption of Cl-	Any impairment of reabsorption of chloride by the kidney in order to not lose too much chloride in the urine.	HPO	http://purl.obolibrary.org/obo/HP_0011038	HP_0011038
HP_0005336	Forehead hyperpigmentation	Darkening of the forehead	NA	HPO	http://purl.obolibrary.org/obo/HP_0007400,http://purl.obolibrary.org/obo/HP_0000290	HP_0007400,HP_0000290
HP_0004487	Acrobrachycephaly	NA	An abnormality of head shape characterized by the presence of a short, wide head as well as a pointy or conical form of the top of the head owing to premature closure of the coronal and lambdoid sutures.	HPO	http://purl.obolibrary.org/obo/HP_0000248	HP_0000248
HP_0005335	Sleepy facial expression	Sleepy facial expression,Somnolent facial expression	NA	HPO	http://purl.obolibrary.org/obo/HP_0005324	HP_0005324
HP_0004488	Macrocephaly at birth	Big head present at birth,Big head present since birth,Congenital large head,Large head present since birth,Large head present at birth,Big cranium present at birth,Big skull present at birth,Big cranium present since birth,Head circumference large for gestational age,Large cranium present since birth,Large skull present at birth,Congenital large cranium,Large cranium present at birth,Congenital large skull,Congenital macrocephaly,Big skull present since birth,Large skull present since birth	The presence of an abnormally large skull with onset at birth.	HPO	http://purl.obolibrary.org/obo/HP_0000256	HP_0000256
HP_0005576	Tubulointerstitial fibrosis	Renal interstitial fibrosis,Tubulointerstitial renal fibrosis,Tubulointerstitial scarring	A progressive detrimental connective tissue deposition (fibrosis) on the kidney parenchyma involving the tubules and interstitial tissue of the kidney.,This finding is usually shown by renal biopsy. Fibrosis involves an excess accumulation of extracellular matrix and usually results in loss of function when normal tissue is replaced with scar tissue. Tubulointerstitial renal fibrosis, characterized as a progressive detrimental connective tissue deposition on the kidney parenchyma, appears to be a harmful process leading inevitably to renal function deterioration, independently of the primary renal disease which causes the original kidney injury. Epithelial to Mesenchymal Transition (EMT) of tubular epithelial cells which are transformed to mesenchymal fibroblasts migrating to adjacent interstitial parenchyma constitutes the principal mechanism of renal fibrosis along with local and circulating cells. (PMID:20011086)	HPO	http://purl.obolibrary.org/obo/HP_0001969,http://purl.obolibrary.org/obo/HP_0030760	HP_0001969,HP_0030760
HP_0005339	Abnormality of complement system	NA	An abnormality of the complement system.,The complement system represents a family of over 25 serum proteins and cell surface receptors that act in a cascade manner leading to innate functions such as inflammation and enhancement of adaptive immunity. Three general pathways, i.e. classical, lectin and alternative, activate the complement system.	HPO	http://purl.obolibrary.org/obo/HP_0005368	HP_0005368
HP_0005338	Sparse lateral eyebrow	Laterally sparse eyebrows,Limited hair on end of eyebrow,Lateral hypoplasia of eyebrows,Laterally sparse eyebrow,Lateral thinning of eyebrows,Sparse lateral eyebrows	Decreased density/number and/or decreased diameter of lateral eyebrow hairs.,Abnormal sparseness of the eyebrows laterally.	HPO	http://purl.obolibrary.org/obo/HP_0045075	HP_0045075
HP_0004481	Progressive macrocephaly	Progressively abnormally enlarging cranium,Macrocephaly, progressive,Progressively abnormally enlarging skull	The progressive development of an abnormally large skull.	HPO	http://purl.obolibrary.org/obo/HP_0000256	HP_0000256
HP_0005571	Increased renal tubular phosphate reabsorption	Increased percent tubular reabsorption of phosphorus	NA	HPO	http://purl.obolibrary.org/obo/HP_0011038	HP_0011038
HP_0004482	Relative macrocephaly	Disproportionately large head,Macrocephaly, relative,Relatively large head	A relatively mild degree of macrocephaly in which the head circumference is not above two standard deviations from the mean, but appears dysproportionately large when other factors such as body stature are taken into account.	HPO	http://purl.obolibrary.org/obo/HP_0000256	HP_0000256
HP_0004485	Cessation of head growth	Skull stopped growing,Cranium stopped growing,Head stopped growing	Stagnation of head growth seen as flattening of the head circumference curve.	HPO	http://purl.obolibrary.org/obo/HP_0005484	HP_0005484
HP_0005575	Hemolytic-uremic syndrome	Hemolytic uremic syndrome	NA	HPO	http://purl.obolibrary.org/obo/HP_0012211	HP_0012211
HP_0005332	Recurrent mandibular subluxations	NA	Recurrent partial dislocations of the mandible.	HPO	http://purl.obolibrary.org/obo/HP_0032153,http://purl.obolibrary.org/obo/HP_0000277	HP_0032153,HP_0000277
HP_0005574	Non-acidotic proximal tubulopathy	NA	A type of proximal renal tubulopathy characterized by resorption defects leading to glycosuria, aminoaciduria, tubular proteinuria, renal hypophosphatemia, and urate tubular hyporeabsorption without bicarbonate loss.	HPO	http://purl.obolibrary.org/obo/HP_0000114	HP_0000114
HP_0004484	Craniofacial asymmetry	Uneven craniofacial structures,Malformation of craniofacial shape,Abnormality of craniofacial shape	Asymmetry of the bones of the skull and the face.	HPO	http://purl.obolibrary.org/obo/HP_0000324,http://purl.obolibrary.org/obo/HP_0000267,http://purl.obolibrary.org/obo/HP_0011821	HP_0000324,HP_0000267,HP_0011821
