"value_en"	"description_en"	"codesystem"	"code"	"description_code"
"urn:miriam:icd:D12"	"Benign neoplasm of colon	 rectum	 anus and anal canal"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal"	"http://identifiers.org/icd/D12"
"urn:miriam:icd:D12.0"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Caecum"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Caecum"	"http://identifiers.org/icd/D12.0"
"urn:miriam:icd:D12.1"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Appendix"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Appendix"	"http://identifiers.org/icd/D12.1"
"urn:miriam:icd:D12.2"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Ascending colon"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Ascending colon"	"http://identifiers.org/icd/D12.2"
"urn:miriam:icd:D12.3"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Transverse colon"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Transverse colon"	"http://identifiers.org/icd/D12.3"
"urn:miriam:icd:D12.4"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Descending colon"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Descending colon"	"http://identifiers.org/icd/D12.4"
"urn:miriam:icd:D12.5"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Sigmoid colon"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Sigmoid colon"	"http://identifiers.org/icd/D12.5"
"urn:miriam:icd:D12.6"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Colon	 unspecified"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Colon	 unspecified"	"http://identifiers.org/icd/D12.6"
"urn:miriam:icd:D12.7"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Rectosigmoid junction"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Rectosigmoid junction"	"http://identifiers.org/icd/D12.7"
"urn:miriam:icd:D12.8"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Rectum"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Rectum"	"http://identifiers.org/icd/D12.8"
"urn:miriam:icd:D12.9"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Anus and anal canal"	"ICD-10"	"Benign neoplasm of colon	 rectum	 anus and anal canal - Anus and anal canal"	"http://identifiers.org/icd/D12.9"
"urn:miriam:icd:D13"	"Benign neoplasm of other and ill-defined parts of digestive system"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system"	"http://identifiers.org/icd/D13"
"urn:miriam:icd:D13.0"	"Benign neoplasm of other and ill-defined parts of digestive system - Oesophagus"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Oesophagus"	"http://identifiers.org/icd/D13.0"
"urn:miriam:icd:D13.1"	"Benign neoplasm of other and ill-defined parts of digestive system - Stomach"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Stomach"	"http://identifiers.org/icd/D13.1"
"urn:miriam:icd:D13.2"	"Benign neoplasm of other and ill-defined parts of digestive system - Duodenum"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Duodenum"	"http://identifiers.org/icd/D13.2"
"urn:miriam:icd:D13.3"	"Benign neoplasm of other and ill-defined parts of digestive system - Other and unspecified parts of small intestine"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Other and unspecified parts of small intestine"	"http://identifiers.org/icd/D13.3"
"urn:miriam:icd:D13.4"	"Benign neoplasm of other and ill-defined parts of digestive system - Liver"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Liver"	"http://identifiers.org/icd/D13.4"
"urn:miriam:icd:D13.5"	"Benign neoplasm of other and ill-defined parts of digestive system - Extrahepatic bile ducts"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Extrahepatic bile ducts"	"http://identifiers.org/icd/D13.5"
"urn:miriam:icd:D13.6"	"Benign neoplasm of other and ill-defined parts of digestive system - Pancreas"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Pancreas"	"http://identifiers.org/icd/D13.6"
"urn:miriam:icd:D13.7"	"Benign neoplasm of other and ill-defined parts of digestive system - Endocrine pancreas"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Endocrine pancreas"	"http://identifiers.org/icd/D13.7"
"urn:miriam:icd:D13.9"	"Benign neoplasm of other and ill-defined parts of digestive system - Ill-defined sites within the digestive system"	"ICD-10"	"Benign neoplasm of other and ill-defined parts of digestive system - Ill-defined sites within the digestive system"	"http://identifiers.org/icd/D13.9"
"urn:miriam:icd:D14"	"Benign neoplasm of middle ear and respiratory system"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system"	"http://identifiers.org/icd/D14"
"urn:miriam:icd:D14.0"	"Benign neoplasm of middle ear and respiratory system - Middle ear	 nasal cavity and accessory sinuses"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system - Middle ear	 nasal cavity and accessory sinuses"	"http://identifiers.org/icd/D14.0"
"urn:miriam:icd:D14.1"	"Benign neoplasm of middle ear and respiratory system - Larynx"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system - Larynx"	"http://identifiers.org/icd/D14.1"
"urn:miriam:icd:D14.2"	"Benign neoplasm of middle ear and respiratory system - Trachea"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system - Trachea"	"http://identifiers.org/icd/D14.2"
"urn:miriam:icd:D14.3"	"Benign neoplasm of middle ear and respiratory system - Bronchus and lung"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system - Bronchus and lung"	"http://identifiers.org/icd/D14.3"
"urn:miriam:icd:D14.4"	"Benign neoplasm of middle ear and respiratory system - Respiratory system	 unspecified"	"ICD-10"	"Benign neoplasm of middle ear and respiratory system - Respiratory system	 unspecified"	"http://identifiers.org/icd/D14.4"
"urn:miriam:icd:D15"	"Benign neoplasm of other and unspecified intrathoracic organs"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs"	"http://identifiers.org/icd/D15"
"urn:miriam:icd:D15.0"	"Benign neoplasm of other and unspecified intrathoracic organs - Thymus"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs - Thymus"	"http://identifiers.org/icd/D15.0"
"urn:miriam:icd:D15.1"	"Benign neoplasm of other and unspecified intrathoracic organs - Heart"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs - Heart"	"http://identifiers.org/icd/D15.1"
"urn:miriam:icd:D15.2"	"Benign neoplasm of other and unspecified intrathoracic organs - Mediastinum"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs - Mediastinum"	"http://identifiers.org/icd/D15.2"
"urn:miriam:icd:D15.7"	"Benign neoplasm of other and unspecified intrathoracic organs - Other specified intrathoracic organs"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs - Other specified intrathoracic organs"	"http://identifiers.org/icd/D15.7"
"urn:miriam:icd:D15.9"	"Benign neoplasm of other and unspecified intrathoracic organs - Intrathoracic organ	 unspecified"	"ICD-10"	"Benign neoplasm of other and unspecified intrathoracic organs - Intrathoracic organ	 unspecified"	"http://identifiers.org/icd/D15.9"
"urn:miriam:icd:D16"	"Benign neoplasm of bone and articular cartilage"	"ICD-10"	"Benign neoplasm of bone and articular cartilage"	"http://identifiers.org/icd/D16"
"urn:miriam:icd:D16.0"	"Benign neoplasm of bone and articular cartilage - Scapula and long bones of upper limb"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Scapula and long bones of upper limb"	"http://identifiers.org/icd/D16.0"
"urn:miriam:icd:D16.1"	"Benign neoplasm of bone and articular cartilage - Short bones of upper limb"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Short bones of upper limb"	"http://identifiers.org/icd/D16.1"
"urn:miriam:icd:D16.2"	"Benign neoplasm of bone and articular cartilage - Long bones of lower limb"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Long bones of lower limb"	"http://identifiers.org/icd/D16.2"
"urn:miriam:icd:D16.3"	"Benign neoplasm of bone and articular cartilage - Short bones of lower limb"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Short bones of lower limb"	"http://identifiers.org/icd/D16.3"
"urn:miriam:icd:D16.4"	"Benign neoplasm of bone and articular cartilage - Bones of skull and face"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Bones of skull and face"	"http://identifiers.org/icd/D16.4"
"urn:miriam:icd:D16.5"	"Benign neoplasm of bone and articular cartilage - Lower jaw bone"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Lower jaw bone"	"http://identifiers.org/icd/D16.5"
"urn:miriam:icd:D16.6"	"Benign neoplasm of bone and articular cartilage - Vertebral column"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Vertebral column"	"http://identifiers.org/icd/D16.6"
"urn:miriam:icd:D16.7"	"Benign neoplasm of bone and articular cartilage - Ribs	 sternum and clavicle"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Ribs	 sternum and clavicle"	"http://identifiers.org/icd/D16.7"
"urn:miriam:icd:D16.8"	"Benign neoplasm of bone and articular cartilage - Pelvic bones	 sacrum and coccyx"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Pelvic bones	 sacrum and coccyx"	"http://identifiers.org/icd/D16.8"
"urn:miriam:icd:D16.9"	"Benign neoplasm of bone and articular cartilage - Bone and articular cartilage	 unspecified"	"ICD-10"	"Benign neoplasm of bone and articular cartilage - Bone and articular cartilage	 unspecified"	"http://identifiers.org/icd/D16.9"
"urn:miriam:icd:D17"	"Benign lipomatous neoplasm"	"ICD-10"	"Benign lipomatous neoplasm"	"http://identifiers.org/icd/D17"
"urn:miriam:icd:D17.0"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of head	 face and neck"	"ICD-10"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of head	 face and neck"	"http://identifiers.org/icd/D17.0"
"urn:miriam:icd:D17.1"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk"	"ICD-10"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk"	"http://identifiers.org/icd/D17.1"
"urn:miriam:icd:D17.2"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs"	"ICD-10"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs"	"http://identifiers.org/icd/D17.2"
"urn:miriam:icd:D17.3"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites"	"ICD-10"	"Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites"	"http://identifiers.org/icd/D17.3"
"urn:miriam:icd:D17.4"	"Benign lipomatous neoplasm of intrathoracic organs"	"ICD-10"	"Benign lipomatous neoplasm of intrathoracic organs"	"http://identifiers.org/icd/D17.4"
"urn:miriam:icd:D17.5"	"Benign lipomatous neoplasm of intra-abdominal organs"	"ICD-10"	"Benign lipomatous neoplasm of intra-abdominal organs"	"http://identifiers.org/icd/D17.5"
"urn:miriam:icd:D17.6"	"Benign lipomatous neoplasm of spermatic cord"	"ICD-10"	"Benign lipomatous neoplasm of spermatic cord"	"http://identifiers.org/icd/D17.6"
"urn:miriam:icd:D17.7"	"Benign lipomatous neoplasm of other sites"	"ICD-10"	"Benign lipomatous neoplasm of other sites"	"http://identifiers.org/icd/D17.7"
"urn:miriam:icd:D17.9"	"Benign lipomatous neoplasm	 unspecified"	"ICD-10"	"Benign lipomatous neoplasm	 unspecified"	"http://identifiers.org/icd/D17.9"
"urn:miriam:icd:D18"	"Haemangioma and lymphangioma	 any site"	"ICD-10"	"Haemangioma and lymphangioma	 any site"	"http://identifiers.org/icd/D18"
"urn:miriam:icd:D18.0"	"Haemangioma	 any site"	"ICD-10"	"Haemangioma	 any site"	"http://identifiers.org/icd/D18.0"
"urn:miriam:icd:D18.1"	"Lymphangioma	 any site"	"ICD-10"	"Lymphangioma	 any site"	"http://identifiers.org/icd/D18.1"
"urn:miriam:icd:D19"	"Benign neoplasm of mesothelial tissue"	"ICD-10"	"Benign neoplasm of mesothelial tissue"	"http://identifiers.org/icd/D19"
"urn:miriam:icd:D19.0"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of pleura"	"ICD-10"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of pleura"	"http://identifiers.org/icd/D19.0"
"urn:miriam:icd:D19.1"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of peritoneum"	"ICD-10"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of peritoneum"	"http://identifiers.org/icd/D19.1"
"urn:miriam:icd:D19.7"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of other sites"	"ICD-10"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue of other sites"	"http://identifiers.org/icd/D19.7"
"urn:miriam:icd:D19.9"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue	 unspecified"	"ICD-10"	"Benign neoplasm of mesothelial tissue - Mesothelial tissue	 unspecified"	"http://identifiers.org/icd/D19.9"
"urn:miriam:icd:D20"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum"	"ICD-10"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum"	"http://identifiers.org/icd/D20"
"urn:miriam:icd:D20.0"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum - Retroperitoneum"	"ICD-10"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum - Retroperitoneum"	"http://identifiers.org/icd/D20.0"
"urn:miriam:icd:D20.1"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum - Peritoneum"	"ICD-10"	"Benign neoplasm of soft tissue of retroperitoneum and peritoneum - Peritoneum"	"http://identifiers.org/icd/D20.1"
"urn:miriam:icd:D21"	"Other benign neoplasms of connective and other soft tissue"	"ICD-10"	"Other benign neoplasms of connective and other soft tissue"	"http://identifiers.org/icd/D21"
"urn:miriam:icd:D21.0"	"Connective and other soft tissue of head	 face and neck"	"ICD-10"	"Connective and other soft tissue of head	 face and neck"	"http://identifiers.org/icd/D21.0"
"urn:miriam:icd:D21.1"	"Connective and other soft tissue of upper limb	 including shoulder"	"ICD-10"	"Connective and other soft tissue of upper limb	 including shoulder"	"http://identifiers.org/icd/D21.1"
"urn:miriam:icd:D21.2"	"Connective and other soft tissue of lower limb	 including hip"	"ICD-10"	"Connective and other soft tissue of lower limb	 including hip"	"http://identifiers.org/icd/D21.2"
"urn:miriam:icd:D21.3"	"Connective and other soft tissue of thorax"	"ICD-10"	"Connective and other soft tissue of thorax"	"http://identifiers.org/icd/D21.3"
"urn:miriam:icd:D21.4"	"Connective and other soft tissue of abdomen"	"ICD-10"	"Connective and other soft tissue of abdomen"	"http://identifiers.org/icd/D21.4"
"urn:miriam:icd:D21.5"	"Connective and other soft tissue of pelvis"	"ICD-10"	"Connective and other soft tissue of pelvis"	"http://identifiers.org/icd/D21.5"
"urn:miriam:icd:D21.6"	"Connective and other soft tissue of trunk	 unspecified"	"ICD-10"	"Connective and other soft tissue of trunk	 unspecified"	"http://identifiers.org/icd/D21.6"
"urn:miriam:icd:D21.9"	"Connective and other soft tissue	 unspecified"	"ICD-10"	"Connective and other soft tissue	 unspecified"	"http://identifiers.org/icd/D21.9"
"urn:miriam:icd:D22"	"Melanocytic naevi"	"ICD-10"	"Melanocytic naevi"	"http://identifiers.org/icd/D22"
"urn:miriam:icd:D22.0"	"Melanocytic naevi of lip"	"ICD-10"	"Melanocytic naevi of lip"	"http://identifiers.org/icd/D22.0"
"urn:miriam:icd:D22.1"	"Melanocytic naevi of eyelid	 including canthus"	"ICD-10"	"Melanocytic naevi of eyelid	 including canthus"	"http://identifiers.org/icd/D22.1"
"urn:miriam:icd:D22.2"	"Melanocytic naevi of ear and external auricular canal"	"ICD-10"	"Melanocytic naevi of ear and external auricular canal"	"http://identifiers.org/icd/D22.2"
"urn:miriam:icd:D22.3"	"Melanocytic naevi of other and unspecified parts of face"	"ICD-10"	"Melanocytic naevi of other and unspecified parts of face"	"http://identifiers.org/icd/D22.3"
"urn:miriam:icd:D22.4"	"Melanocytic naevi of scalp and neck"	"ICD-10"	"Melanocytic naevi of scalp and neck"	"http://identifiers.org/icd/D22.4"
"urn:miriam:icd:D22.5"	"Melanocytic naevi of trunk"	"ICD-10"	"Melanocytic naevi of trunk"	"http://identifiers.org/icd/D22.5"
"urn:miriam:icd:D22.6"	"Melanocytic naevi of upper limb	 including shoulder"	"ICD-10"	"Melanocytic naevi of upper limb	 including shoulder"	"http://identifiers.org/icd/D22.6"
"urn:miriam:icd:D22.7"	"Melanocytic naevi of lower limb	 including hip"	"ICD-10"	"Melanocytic naevi of lower limb	 including hip"	"http://identifiers.org/icd/D22.7"
"urn:miriam:icd:D22.9"	"Melanocytic naevi	 unspecified"	"ICD-10"	"Melanocytic naevi	 unspecified"	"http://identifiers.org/icd/D22.9"
"urn:miriam:icd:D23"	"Other benign neoplasms of skin"	"ICD-10"	"Other benign neoplasms of skin"	"http://identifiers.org/icd/D23"
"urn:miriam:icd:D24"	"Benign neoplasm of breast"	"ICD-10"	"Benign neoplasm of breast"	"http://identifiers.org/icd/D24"
"urn:miriam:icd:D25"	"Leiomyoma of uterus"	"ICD-10"	"Leiomyoma of uterus"	"http://identifiers.org/icd/D25"
"urn:miriam:icd:D25.0"	"Submucous leiomyoma of uterus"	"ICD-10"	"Submucous leiomyoma of uterus"	"http://identifiers.org/icd/D25.0"
"urn:miriam:icd:D25.1"	"Intramural leiomyoma of uterus"	"ICD-10"	"Intramural leiomyoma of uterus"	"http://identifiers.org/icd/D25.1"
"urn:miriam:icd:D25.2"	"Subserosal leiomyoma of uterus"	"ICD-10"	"Subserosal leiomyoma of uterus"	"http://identifiers.org/icd/D25.2"
"urn:miriam:icd:D25.9"	"Leiomyoma of uterus	 unspecified"	"ICD-10"	"Leiomyoma of uterus	 unspecified"	"http://identifiers.org/icd/D25.9"
"urn:miriam:icd:D26"	"Other benign neoplasms of uterus"	"ICD-10"	"Other benign neoplasms of uterus"	"http://identifiers.org/icd/D26"
"urn:miriam:icd:D26.0"	"Other benign neoplasms of uterus - Cervix uteri"	"ICD-10"	"Other benign neoplasms of uterus - Cervix uteri"	"http://identifiers.org/icd/D26.0"
"urn:miriam:icd:D26.1"	"Other benign neoplasms of uterus - Corpus uteri"	"ICD-10"	"Other benign neoplasms of uterus - Corpus uteri"	"http://identifiers.org/icd/D26.1"
"urn:miriam:icd:D26.7"	"Other parts of uterus"	"ICD-10"	"Other parts of uterus"	"http://identifiers.org/icd/D26.7"
"urn:miriam:icd:D26.9"	"Uterus	 unspecified"	"ICD-10"	"Uterus	 unspecified"	"http://identifiers.org/icd/D26.9"
"urn:miriam:icd:D27"	"Benign neoplasm of ovary"	"ICD-10"	"Benign neoplasm of ovary"	"http://identifiers.org/icd/D27"
"urn:miriam:icd:D28"	"Benign neoplasm of other and unspecified female genital organs"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs"	"http://identifiers.org/icd/D28"
"urn:miriam:icd:D28.0"	"Benign neoplasm of other and unspecified female genital organs - Vulva"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs - Vulva"	"http://identifiers.org/icd/D28.0"
"urn:miriam:icd:D28.1"	"Benign neoplasm of other and unspecified female genital organs - Vagina"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs - Vagina"	"http://identifiers.org/icd/D28.1"
"urn:miriam:icd:D28.2"	"Benign neoplasm of other and unspecified female genital organs - Uterine tubes and ligaments"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs - Uterine tubes and ligaments"	"http://identifiers.org/icd/D28.2"
"urn:miriam:icd:D28.7"	"Benign neoplasm of other and unspecified female genital organs - Other specified female genital organs"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs - Other specified female genital organs"	"http://identifiers.org/icd/D28.7"
"urn:miriam:icd:D28.9"	"Benign neoplasm of other and unspecified female genital organs - Female genital organ	 unspecified"	"ICD-10"	"Benign neoplasm of other and unspecified female genital organs - Female genital organ	 unspecified"	"http://identifiers.org/icd/D28.9"
"urn:miriam:icd:D29"	"Benign neoplasm of male genital organs"	"ICD-10"	"Benign neoplasm of male genital organs"	"http://identifiers.org/icd/D29"
"urn:miriam:icd:D29.0"	"Benign neoplasm of male genital organs - Penis"	"ICD-10"	"Benign neoplasm of male genital organs - Penis"	"http://identifiers.org/icd/D29.0"
"urn:miriam:icd:D29.1"	"Benign neoplasm of male genital organs - Prostate"	"ICD-10"	"Benign neoplasm of male genital organs - Prostate"	"http://identifiers.org/icd/D29.1"
"urn:miriam:icd:D29.2"	"Benign neoplasm of male genital organs - Testis"	"ICD-10"	"Benign neoplasm of male genital organs - Testis"	"http://identifiers.org/icd/D29.2"
"urn:miriam:icd:D29.3"	"Benign neoplasm of male genital organs - Epididymis"	"ICD-10"	"Benign neoplasm of male genital organs - Epididymis"	"http://identifiers.org/icd/D29.3"
"urn:miriam:icd:D29.4"	"Benign neoplasm of male genital organs - Scrotum"	"ICD-10"	"Benign neoplasm of male genital organs - Scrotum"	"http://identifiers.org/icd/D29.4"
"urn:miriam:icd:D29.7"	"Benign neoplasm of male genital organs - Other male genital organs"	"ICD-10"	"Benign neoplasm of male genital organs - Other male genital organs"	"http://identifiers.org/icd/D29.7"
"urn:miriam:icd:D29.9"	"Benign neoplasm of male genital organs - Male genital organ	 unspecified"	"ICD-10"	"Benign neoplasm of male genital organs - Male genital organ	 unspecified"	"http://identifiers.org/icd/D29.9"
"urn:miriam:icd:D30"	"Benign neoplasm of urinary organs"	"ICD-10"	"Benign neoplasm of urinary organs"	"http://identifiers.org/icd/D30"
"urn:miriam:icd:D30.0"	"Benign neoplasm of urinary organs - Kidney"	"ICD-10"	"Benign neoplasm of urinary organs - Kidney"	"http://identifiers.org/icd/D30.0"
"urn:miriam:icd:D30.1"	"Benign neoplasm of urinary organs - Renal pelvis"	"ICD-10"	"Benign neoplasm of urinary organs - Renal pelvis"	"http://identifiers.org/icd/D30.1"
"urn:miriam:icd:D30.2"	"Benign neoplasm of urinary organs - Ureter"	"ICD-10"	"Benign neoplasm of urinary organs - Ureter"	"http://identifiers.org/icd/D30.2"
"urn:miriam:icd:D30.3"	"Benign neoplasm of urinary organs - Bladder"	"ICD-10"	"Benign neoplasm of urinary organs - Bladder"	"http://identifiers.org/icd/D30.3"
"urn:miriam:icd:D30.4"	"Benign neoplasm of urinary organs - Urethra"	"ICD-10"	"Benign neoplasm of urinary organs - Urethra"	"http://identifiers.org/icd/D30.4"
"urn:miriam:icd:D30.7"	"Benign neoplasm of urinary organs - Other urinary organs"	"ICD-10"	"Benign neoplasm of urinary organs - Other urinary organs"	"http://identifiers.org/icd/D30.7"
"urn:miriam:icd:D30.9"	"Benign neoplasm of urinary organs - Urinary organ	 unspecified"	"ICD-10"	"Benign neoplasm of urinary organs - Urinary organ	 unspecified"	"http://identifiers.org/icd/D30.9"
"urn:miriam:icd:D31"	"Benign neoplasm of eye and adnexa"	"ICD-10"	"Benign neoplasm of eye and adnexa"	"http://identifiers.org/icd/D31"
"urn:miriam:icd:D31.0"	"Benign neoplasm of eye and adnexa - Conjunctiva"	"ICD-10"	"Benign neoplasm of eye and adnexa - Conjunctiva"	"http://identifiers.org/icd/D31.0"
"urn:miriam:icd:D31.1"	"Benign neoplasm of eye and adnexa - Cornea"	"ICD-10"	"Benign neoplasm of eye and adnexa - Cornea"	"http://identifiers.org/icd/D31.1"
"urn:miriam:icd:D31.2"	"Benign neoplasm of eye and adnexa - Retina"	"ICD-10"	"Benign neoplasm of eye and adnexa - Retina"	"http://identifiers.org/icd/D31.2"
"urn:miriam:icd:D31.3"	"Benign neoplasm of eye and adnexa - Choroid"	"ICD-10"	"Benign neoplasm of eye and adnexa - Choroid"	"http://identifiers.org/icd/D31.3"
"urn:miriam:icd:D31.4"	"Benign neoplasm of eye and adnexa - Ciliary body"	"ICD-10"	"Benign neoplasm of eye and adnexa - Ciliary body"	"http://identifiers.org/icd/D31.4"
"urn:miriam:icd:D31.5"	"Benign neoplasm of eye and adnexa - Lacrimal gland and duct"	"ICD-10"	"Benign neoplasm of eye and adnexa - Lacrimal gland and duct"	"http://identifiers.org/icd/D31.5"
"urn:miriam:icd:D31.6"	"Benign neoplasm of eye and adnexa - Orbit	 unspecified"	"ICD-10"	"Benign neoplasm of eye and adnexa - Orbit	 unspecified"	"http://identifiers.org/icd/D31.6"
"urn:miriam:icd:D31.9"	"Benign neoplasm of eye and adnexa - Eye	 unspecified"	"ICD-10"	"Benign neoplasm of eye and adnexa - Eye	 unspecified"	"http://identifiers.org/icd/D31.9"
"urn:miriam:icd:D32"	"Benign neoplasm of meninges"	"ICD-10"	"Benign neoplasm of meninges"	"http://identifiers.org/icd/D32"
"urn:miriam:icd:D32.0"	"Benign neoplasm of meninges - Cerebral meninges"	"ICD-10"	"Benign neoplasm of meninges - Cerebral meninges"	"http://identifiers.org/icd/D32.0"
"urn:miriam:icd:D32.1"	"Benign neoplasm of meninges - Spinal meninges"	"ICD-10"	"Benign neoplasm of meninges - Spinal meninges"	"http://identifiers.org/icd/D32.1"
"urn:miriam:icd:D32.9"	"Benign neoplasm of meninges - Meninges	 unspecified"	"ICD-10"	"Benign neoplasm of meninges - Meninges	 unspecified"	"http://identifiers.org/icd/D32.9"
"urn:miriam:icd:D33"	"Benign neoplasm of brain and other parts of central nervous system"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system"	"http://identifiers.org/icd/D33"
"urn:miriam:icd:D33.0"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 supratentorial"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 supratentorial"	"http://identifiers.org/icd/D33.0"
"urn:miriam:icd:D33.1"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 infratentorial"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 infratentorial"	"http://identifiers.org/icd/D33.1"
"urn:miriam:icd:D33.2"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 unspecified"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Brain	 unspecified"	"http://identifiers.org/icd/D33.2"
"urn:miriam:icd:D33.3"	"Benign neoplasm of brain and other parts of central nervous system - Cranial nerves"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Cranial nerves"	"http://identifiers.org/icd/D33.3"
"urn:miriam:icd:D33.4"	"Benign neoplasm of brain and other parts of central nervous system - Spinal cord"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Spinal cord"	"http://identifiers.org/icd/D33.4"
"urn:miriam:icd:D33.7"	"Benign neoplasm of brain and other parts of central nervous system - Other specified parts of central nervous system"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Other specified parts of central nervous system"	"http://identifiers.org/icd/D33.7"
"urn:miriam:icd:D33.9"	"Benign neoplasm of brain and other parts of central nervous system - Central nervous system	 unspecified"	"ICD-10"	"Benign neoplasm of brain and other parts of central nervous system - Central nervous system	 unspecified"	"http://identifiers.org/icd/D33.9"
"urn:miriam:icd:D34"	"Benign neoplasm of thyroid gland"	"ICD-10"	"Benign neoplasm of thyroid gland"	"http://identifiers.org/icd/D34"
"urn:miriam:icd:D35"	"Benign neoplasm of other and unspecified endocrine glands"	"ICD-10"	"Benign neoplasm of other and unspecified endocrine glands"	"http://identifiers.org/icd/D35"
"urn:miriam:icd:D35.0"	"Benign neoplasm of other and unspecified endocrine glands - Adrenal gland"	"ICD-10"	"Benign neoplasm of other and unspecified endocrine glands - Adrenal gland"	"http://identifiers.org/icd/D35.0"
